REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,2020/09/01 00:30:00,5074.43,57.13,TRADE
VIC1,2020/09/01 01:00:00,4981.56,52.82,TRADE
VIC1,2020/09/01 01:30:00,4856.36,50.82,TRADE
VIC1,2020/09/01 02:00:00,4682.04,50.20,TRADE
VIC1,2020/09/01 02:30:00,4537.91,43.81,TRADE
VIC1,2020/09/01 03:00:00,4449.52,41.96,TRADE
VIC1,2020/09/01 03:30:00,4325.01,43.02,TRADE
VIC1,2020/09/01 04:00:00,4299.91,38.22,TRADE
VIC1,2020/09/01 04:30:00,4342.89,35.43,TRADE
VIC1,2020/09/01 05:00:00,4353.47,32.31,TRADE
VIC1,2020/09/01 05:30:00,4521.39,36.89,TRADE
VIC1,2020/09/01 06:00:00,4755.31,45.01,TRADE
VIC1,2020/09/01 06:30:00,5132.62,54.83,TRADE
VIC1,2020/09/01 07:00:00,5454.6,62.60,TRADE
VIC1,2020/09/01 07:30:00,5652.85,46.72,TRADE
VIC1,2020/09/01 08:00:00,5801.57,43.69,TRADE
VIC1,2020/09/01 08:30:00,5878.78,41.66,TRADE
VIC1,2020/09/01 09:00:00,5691.85,42.91,TRADE
VIC1,2020/09/01 09:30:00,5514.05,36.01,TRADE
VIC1,2020/09/01 10:00:00,5161.39,46.89,TRADE
VIC1,2020/09/01 10:30:00,4817.38,37.62,TRADE
VIC1,2020/09/01 11:00:00,4596.69,42.85,TRADE
VIC1,2020/09/01 11:30:00,4424,38.83,TRADE
VIC1,2020/09/01 12:00:00,4287.74,32.80,TRADE
VIC1,2020/09/01 12:30:00,4177.3,29.79,TRADE
VIC1,2020/09/01 13:00:00,4115.4,31.87,TRADE
VIC1,2020/09/01 13:30:00,4018.49,4.20,TRADE
VIC1,2020/09/01 14:00:00,3956.64,8.43,TRADE
VIC1,2020/09/01 14:30:00,4006.59,11.72,TRADE
VIC1,2020/09/01 15:00:00,4098.48,23.56,TRADE
VIC1,2020/09/01 15:30:00,4217.83,23.94,TRADE
VIC1,2020/09/01 16:00:00,4478.88,30.94,TRADE
VIC1,2020/09/01 16:30:00,4696.01,41.39,TRADE
VIC1,2020/09/01 17:00:00,4983.63,51.14,TRADE
VIC1,2020/09/01 17:30:00,5440.03,41.57,TRADE
VIC1,2020/09/01 18:00:00,5910.31,138.88,TRADE
VIC1,2020/09/01 18:30:00,6271.56,231.93,TRADE
